task_id,repo,alignment_verdict,new_eval_verdict,agent_success,fail_to_pass_total,pass_to_pass_total,required_total,selected_test_files_count,issue_specificity_count,issue_categories_count,issue_specificity,issue_categories,problem_statement_words,requirements_words,requirements_bullet_count,interface_words,interface_meaningful,patch_files,patch_changed,test_patch_files,test_patch_changed,f2p_bucket,p2p_bucket,selected_test_files_bucket,patch_files_bucket,patch_changed_bucket,test_patch_changed_bucket,requirements_words_bucket
qutebrowser-3fd8e129,qutebrowser,leaked,reject,False,1,2,3,2,2,1,refactoring_enh;code_quality_enh,back_end_knowledge,137,113,5,236,True,6,244,11,234,01_1-2,01_0-10,02_2,03_4-10,03_201-500,03_101-250,02_101-250
qutebrowser-7b603dd6,qutebrowser,ok,reject,True,14,6,20,1,3,3,code_quality_enh;technical_debt_enh;accessibility_enh,desktop_knowledge;web_knowledge;performance_knowledge,177,291,11,85,True,1,60,1,4,04_11-25,01_0-10,01_1,01_1,02_51-200,01_0-20,03_251-500
qutebrowser-a25e8a09,qutebrowser,ok,reject,False,12,105,117,2,1,2,code_quality_enh,back_end_knowledge;api_knowledge,136,118,6,58,True,1,52,2,12,04_11-25,04_101+,02_2,01_1,02_51-200,01_0-20,02_101-250
qutebrowser-bedc9f7f,qutebrowser,ok,reject,True,17,260,277,2,2,3,code_quality_enh;refactoring_enh,back_end_knowledge;ui_ux_knowledge;desktop_knowledge,129,231,6,89,True,4,164,2,224,04_11-25,04_101+,02_2,03_4-10,02_51-200,03_101-250,02_101-250
qutebrowser-de4a1c1a,qutebrowser,ok,reject,True,66,48,114,2,3,3,refactoring_enh;code_quality_enh;technical_debt_enh,back_end_knowledge;desktop_knowledge;devops_knowledge,166,384,6,169,True,4,542,2,1008,05_26+,02_11-50,02_2,03_4-10,04_501+,04_251+,03_251-500
qutebrowser-ebfe9b7a,qutebrowser,ok,reject,True,1,55,56,2,1,2,refactoring_enh,back_end_knowledge;desktop_knowledge,184,188,7,143,True,2,314,2,80,01_1-2,03_51-100,02_2,02_2-3,03_201-500,02_21-100,02_101-250
qutebrowser-f91ace96,qutebrowser,ok,reject,True,4,52,56,2,2,2,code_quality_enh;refactoring_enh,back_end_knowledge;api_knowledge,94,188,6,73,True,3,64,2,59,02_3-5,03_51-100,02_2,02_2-3,02_51-200,02_21-100,02_101-250
qutebrowser-fd6790fe,qutebrowser,ok,reject,True,6,68,74,2,1,2,ui_ux_bug,ui_ux_knowledge;desktop_knowledge,146,150,7,146,True,6,89,6,86,03_6-10,03_51-100,02_2,03_4-10,02_51-200,02_21-100,02_101-250
ansible-1b70260d,ansible,leaked,accept,True,1,7,8,2,2,3,edge_case_bug;major_bug,back_end_knowledge;infrastructure_knowledge;devops_knowledge,397,312,1,5,False,6,55,7,32,01_1-2,01_0-10,02_2,03_4-10,02_51-200,02_21-100,03_251-500
ansible-1c06c46c,ansible,ok,accept,False,4,18,22,3,1,2,major_bug,back_end_knowledge;security_knowledge,196,171,9,5,False,4,71,4,140,02_3-5,02_11-50,03_3-5,03_4-10,02_51-200,03_101-250,02_101-250
ansible-42355d18,ansible,ok,accept,True,10,1,11,1,3,4,minor_bug;performance_bug;edge_case_bug,back_end_knowledge;performance_knowledge;devops_knowledge;infrastructure_knowledge,167,154,6,98,True,6,89,4,58,03_6-10,01_0-10,01_1,03_4-10,02_51-200,02_21-100,02_101-250
ansible-5e369604,ansible,ok,accept,False,5,2,7,1,2,2,critical_bug;performance_feat,back_end_knowledge;devops_knowledge,227,307,1,196,True,5,94,1,50,02_3-5,01_0-10,01_1,03_4-10,02_51-200,02_21-100,03_251-500
ansible-811093f0,ansible,ok,accept,False,1,1,2,2,3,3,integration_bug;edge_case_bug;major_bug,back_end_knowledge;devops_knowledge;infrastructure_knowledge,233,353,1,159,True,10,719,18,514,01_1-2,01_0-10,02_2,03_4-10,04_501+,04_251+,03_251-500
ansible-8127abbc,ansible,ok,reject,True,10,60,70,5,1,1,core_feat,back_end_knowledge,190,229,1,68,True,7,241,6,79,03_6-10,03_51-100,03_3-5,03_4-10,03_201-500,02_21-100,02_101-250
ansible-949c503f,ansible,ok,accept,False,4,66,70,2,1,3,customization_feat,back_end_knowledge;infrastructure_knowledge;networking_knowledge,190,192,9,152,True,4,230,4,122,02_3-5,03_51-100,02_2,03_4-10,03_201-500,03_101-250,02_101-250
ansible-b748edea,ansible,leaked,accept,False,5,41,46,3,3,3,core_feat;api_feat;integration_feat,back_end_knowledge;api_knowledge;infrastructure_knowledge,233,325,1,166,True,5,269,13,356,02_3-5,02_11-50,03_3-5,03_4-10,03_201-500,04_251+,03_251-500
ansible-d33bedc4,ansible,leaked,accept,False,5,81,86,1,2,3,data_bug;minor_bug,back_end_knowledge;infrastructure_knowledge;devops_knowledge,335,304,1,5,False,7,285,1,233,02_3-5,03_51-100,01_1,03_4-10,03_201-500,03_101-250,03_251-500
ansible-d6d22519,ansible,narrow_tests,accept,False,4,2,6,2,2,4,performance_bug;edge_case_bug,back_end_knowledge;devops_knowledge;infrastructure_knowledge;performance_knowledge,223,425,1,5,False,4,36,6,209,02_3-5,01_0-10,02_2,03_4-10,01_0-50,03_101-250,03_251-500
ansible-d72025be,ansible,leaked,accept,False,5,0,5,1,3,3,major_bug;critical_bug;compatibility_bug,back_end_knowledge;infrastructure_knowledge;networking_knowledge,308,442,17,260,True,5,294,6,723,02_3-5,01_0-10,01_1,03_4-10,03_201-500,04_251+,03_251-500
ansible-de5858f4,ansible,leaked,accept,False,17,41,58,2,3,4,core_feat;performance_feat;api_feat,back_end_knowledge;api_knowledge;performance_knowledge;devops_knowledge,277,383,1,137,True,4,254,5,184,04_11-25,02_11-50,02_2,03_4-10,03_201-500,03_101-250,03_251-500
ansible-ea04e004,ansible,narrow_tests,accept,True,2,1,3,7,2,1,core_feat;code_quality_enh,back_end_knowledge,202,249,1,5,False,6,83,9,411,01_1-2,01_0-10,04_6+,03_4-10,02_51-200,04_251+,02_101-250
ansible-ecea15c5,ansible,narrow_tests,accept,False,7,161,168,2,2,3,core_feat;ui_ux_enh,back_end_knowledge;devops_knowledge;api_knowledge,687,404,1,5,False,3,182,4,212,03_6-10,04_101+,02_2,02_2-3,02_51-200,03_101-250,03_251-500
ansible-f8ef3467,ansible,ok,reject,True,1,71,72,2,4,4,minor_bug;ui_ux_bug;edge_case_bug;data_bug,back_end_knowledge;devops_knowledge;security_knowledge;api_knowledge,330,68,1,5,False,7,52,2,8,01_1-2,03_51-100,02_2,03_4-10,02_51-200,01_0-20,01_0-100
openlibrary-08ac40d0,openlibrary,ok,accept,False,7,119,126,2,3,3,core_feat;code_quality_enh;integration_feat,back_end_knowledge;database_knowledge;api_knowledge,192,220,1,5,False,2,41,7,38,03_6-10,04_101+,02_2,02_2-3,01_0-50,02_21-100,02_101-250
openlibrary-111347e9,openlibrary,ok,accept,False,2,57,59,1,2,2,code_quality_enh;refactoring_enh,back_end_knowledge;ds_knowledge,113,171,0,95,True,5,143,4,28,01_1-2,03_51-100,01_1,03_4-10,02_51-200,02_21-100,02_101-250
openlibrary-123e6e5e,openlibrary,narrow_tests,accept,True,14,0,14,1,3,3,api_feat;core_feat;integration_feat,back_end_knowledge;api_knowledge;web_knowledge,147,126,6,57,True,2,106,1,34,04_11-25,01_0-10,01_1,02_2-3,02_51-200,02_21-100,02_101-250
openlibrary-322d7a46,openlibrary,ok,accept,False,11,0,11,1,3,3,code_quality_enh;refactoring_enh;scalability_enh,back_end_knowledge;api_knowledge;devops_knowledge,172,341,9,373,True,2,483,1,162,04_11-25,01_0-10,01_1,02_2-3,03_201-500,03_101-250,03_251-500
openlibrary-4b7ea297,openlibrary,narrow_tests,accept,True,23,0,23,1,3,3,api_feat;core_feat;integration_feat,api_knowledge;back_end_knowledge;database_knowledge,159,136,6,144,True,8,276,1,101,04_11-25,01_0-10,01_1,03_4-10,03_201-500,03_101-250,02_101-250
openlibrary-53d376b1,openlibrary,ok,accept,False,4,4,8,1,3,3,core_feat;api_feat;integration_feat,back_end_knowledge;database_knowledge;api_knowledge,186,413,1,46,True,4,59,1,213,02_3-5,01_0-10,01_1,03_4-10,02_51-200,03_101-250,03_251-500
openlibrary-630221ab,openlibrary,narrow_tests,accept,True,6,0,6,1,3,3,core_feat;integration_feat;api_feat,back_end_knowledge;api_knowledge;database_knowledge,408,223,8,411,True,6,328,1,201,03_6-10,01_0-10,01_1,03_4-10,03_201-500,03_101-250,02_101-250
openlibrary-7edd1ef0,openlibrary,narrow_tests,accept,False,2,0,2,1,1,1,code_quality_enh,back_end_knowledge,194,285,1,230,True,2,212,1,104,01_1-2,01_0-10,01_1,02_2-3,03_201-500,03_101-250,03_251-500
openlibrary-910b0857,openlibrary,ok,accept,True,6,0,6,1,3,4,api_feat;integration_feat;core_feat,back_end_knowledge;database_knowledge;web_knowledge;api_knowledge,294,275,8,277,True,9,330,1,183,03_6-10,01_0-10,01_1,03_4-10,03_201-500,03_101-250,03_251-500
openlibrary-9bdfd29f,openlibrary,narrow_tests,accept,False,5,11,16,1,1,1,edge_case_bug,back_end_knowledge,115,85,6,5,False,2,141,1,116,02_3-5,02_11-50,01_1,02_2-3,02_51-200,03_101-250,01_0-100
openlibrary-a7b7dc57,openlibrary,ok,accept,True,9,0,9,1,3,4,api_feat;core_feat;ui_ux_feat,back_end_knowledge;database_knowledge;api_knowledge;ui_ux_knowledge,133,166,7,50,True,2,49,1,31,03_6-10,01_0-10,01_1,02_2-3,01_0-50,02_21-100,02_101-250
openlibrary-b112069e,openlibrary,ok,accept,True,3,62,65,2,2,2,data_bug;regression_bug,back_end_knowledge;api_knowledge,219,318,1,306,True,5,233,2,39,02_3-5,03_51-100,02_2,03_4-10,03_201-500,02_21-100,03_251-500
openlibrary-b67138b3,openlibrary,narrow_tests,accept,False,11,53,64,2,3,2,data_bug;compatibility_bug;minor_bug,back_end_knowledge;database_knowledge,171,256,8,30,True,6,888,17,356,04_11-25,03_51-100,02_2,03_4-10,04_501+,04_251+,03_251-500
openlibrary-ba3abfb6,openlibrary,narrow_tests,accept,True,51,42,93,2,3,2,data_bug;code_quality_enh;performance_enh,back_end_knowledge;api_knowledge,226,184,1,99,True,3,48,2,104,05_26+,02_11-50,02_2,02_2-3,01_0-50,03_101-250,02_101-250
openlibrary-d109cc7e,openlibrary,narrow_tests,reject,True,2,0,2,1,1,2,core_feat,back_end_knowledge;web_knowledge,202,252,8,311,True,10,629,1,20,01_1-2,01_0-10,01_1,03_4-10,04_501+,01_0-20,03_251-500
openlibrary-d40ec887,openlibrary,ok,accept,True,28,0,28,2,3,4,api_feat;ui_ux_feat;core_feat,api_knowledge;back_end_knowledge;ui_ux_knowledge;database_knowledge,391,417,18,397,True,3,226,2,76,05_26+,01_0-10,02_2,02_2-3,03_201-500,02_21-100,03_251-500
openlibrary-fdbc0d8f,openlibrary,ok,reject,False,1,37,38,1,2,1,refactoring_enh;code_quality_enh,back_end_knowledge,106,69,3,5,False,4,95,1,35,01_1-2,02_11-50,01_1,03_4-10,02_51-200,02_21-100,01_0-100
qutebrowser-35168ade,qutebrowser,ok,accept,True,7,9,16,1,1,2,code_quality_enh,desktop_knowledge;ui_ux_knowledge,59,126,6,161,True,2,76,1,23,03_6-10,01_0-10,01_1,02_2-3,02_51-200,02_21-100,02_101-250
qutebrowser-394bfaed,qutebrowser,ok,accept,False,16,54,70,2,3,2,refactoring_enh;code_quality_enh;technical_debt_enh,desktop_knowledge;back_end_knowledge,242,560,1,432,True,6,560,2,93,04_11-25,03_51-100,02_2,03_4-10,04_501+,02_21-100,04_501+
qutebrowser-ff1c025a,qutebrowser,leaked,accept,False,785,752,1537,9,3,3,ui_ux_feat;customization_feat;code_quality_enh,full_stack_knowledge;desktop_knowledge;ui_ux_knowledge,175,391,1,76,True,4,95,3,48,05_26+,04_101+,04_6+,03_4-10,02_51-200,02_21-100,03_251-500
ansible-0ea40e09,ansible,ok,reject,True,1,15,16,1,3,3,compatibility_bug;edge_case_bug;major_bug,back_end_knowledge;devops_knowledge;api_knowledge,199,176,1,209,True,3,32,1,11,01_1-2,02_11-50,01_1,02_2-3,01_0-50,01_0-20,02_101-250
ansible-0fd88717,ansible,narrow_tests,accept,False,4,26,30,1,1,2,major_bug,back_end_knowledge;authentication_authorization_knowledge,272,190,1,5,False,2,108,1,17,02_3-5,02_11-50,01_1,02_2-3,02_51-200,01_0-20,02_101-250
ansible-106909db,ansible,ok,reject,True,2,4,6,1,2,3,customization_feat;ui_ux_feat,back_end_knowledge;networking_knowledge;ui_ux_knowledge,300,81,0,64,True,3,26,3,26,01_1-2,01_0-10,01_1,02_2-3,01_0-50,02_21-100,01_0-100
ansible-11c1777d,ansible,ok,reject,False,1,0,1,1,1,2,core_feat,back_end_knowledge;networking_knowledge,178,122,5,95,True,1,38,1,93,01_1-2,01_0-10,01_1,01_1,01_0-50,02_21-100,02_101-250
ansible-12734fa2,ansible,ok,reject,True,1,4,5,1,1,3,major_bug,back_end_knowledge;devops_knowledge;cloud_knowledge,445,172,1,59,True,3,26,1,12,01_1-2,01_0-10,01_1,02_2-3,01_0-50,01_0-20,02_101-250
ansible-164881d8,ansible,ok,reject,False,1,14,15,1,3,2,refactoring_enh;code_quality_enh;core_feat,back_end_knowledge;performance_knowledge,170,186,1,5,False,3,38,1,34,01_1-2,02_11-50,01_1,02_2-3,01_0-50,02_21-100,02_101-250
ansible-185d4103,ansible,ok,reject,True,2,27,29,1,2,2,minor_bug;edge_case_bug,infrastructure_knowledge;networking_knowledge,170,44,1,118,True,3,70,1,14,01_1-2,02_11-50,01_1,02_2-3,02_51-200,01_0-20,01_0-100
ansible-189fcb37,ansible,ok,reject,True,5,0,5,1,2,4,core_feat;integration_feat,api_knowledge;networking_knowledge;devops_knowledge;back_end_knowledge,225,228,1,130,True,2,266,1,201,02_3-5,01_0-10,01_1,02_2-3,03_201-500,03_101-250,02_101-250
ansible-1a4644ff,ansible,leaked,reject,False,11,0,11,1,1,1,code_quality_enh,back_end_knowledge,183,190,1,5,False,2,116,1,106,04_11-25,01_0-10,01_1,02_2-3,02_51-200,03_101-250,02_101-250
ansible-1bd7dcf3,ansible,narrow_tests,reject,False,5,34,39,2,2,2,security_feat;performance_feat,security_knowledge;back_end_knowledge,186,251,1,5,False,5,137,2,94,02_3-5,02_11-50,02_2,03_4-10,02_51-200,02_21-100,03_251-500
ansible-1ee70fc2,ansible,ok,reject,True,1,10,11,1,1,1,compatibility_bug,back_end_knowledge,218,229,1,5,False,1,63,1,49,01_1-2,01_0-10,01_1,01_1,02_51-200,02_21-100,02_101-250
ansible-29aea9ff,ansible,narrow_tests,accept,True,4,10,14,1,2,3,minor_bug;core_feat,back_end_knowledge;devops_knowledge;api_knowledge,395,328,1,5,False,3,61,7,191,02_3-5,01_0-10,01_1,02_2-3,02_51-200,03_101-250,03_251-500
ansible-34db57a4,ansible,ok,reject,False,3,0,3,2,4,4,performance_bug;core_feat;performance_feat;customization_feat,infrastructure_knowledge;back_end_knowledge;devops_knowledge;performance_knowledge,221,184,1,94,True,4,29,2,57,02_3-5,01_0-10,02_2,03_4-10,01_0-50,02_21-100,02_101-250
ansible-3889ddeb,ansible,narrow_tests,accept,False,8,19,27,1,2,3,core_feat;code_quality_enh,full_stack_knowledge;infrastructure_knowledge;devops_knowledge,192,161,1,272,True,2,61,10,334,03_6-10,02_11-50,01_1,02_2-3,02_51-200,04_251+,02_101-250
ansible-39bd8b99,ansible,ok,reject,False,1,0,1,1,3,3,minor_bug;code_quality_enh;refactoring_enh,back_end_knowledge;infrastructure_knowledge;devops_knowledge,246,213,1,151,True,2,99,1,5,01_1-2,01_0-10,01_1,02_2-3,02_51-200,01_0-20,02_101-250
ansible-3b823d90,ansible,ok,reject,True,1,30,31,3,1,2,performance_bug,back_end_knowledge;performance_knowledge,385,140,1,5,False,7,45,3,21,01_1-2,02_11-50,03_3-5,03_4-10,01_0-50,02_21-100,02_101-250
ansible-3db08adb,ansible,ok,reject,True,2,47,49,1,3,2,core_feat;api_feat;customization_feat,back_end_knowledge;api_knowledge,180,161,1,5,False,3,46,1,18,01_1-2,02_11-50,01_1,02_2-3,01_0-50,01_0-20,02_101-250
ansible-415e08c2,ansible,leaked,reject,True,9,2,11,2,2,4,compatibility_bug;edge_case_bug,back_end_knowledge;infrastructure_knowledge;devops_knowledge;api_knowledge,292,323,15,207,True,3,72,2,43,03_6-10,01_0-10,02_2,02_2-3,02_51-200,02_21-100,03_251-500
ansible-48915637,ansible,narrow_tests,reject,False,3,0,3,1,3,3,major_bug;compatibility_bug;integration_bug,devops_knowledge;infrastructure_knowledge;back_end_knowledge,192,115,4,89,True,3,90,1,36,02_3-5,01_0-10,01_1,02_2-3,02_51-200,02_21-100,02_101-250
ansible-4c5ce5a1,ansible,ok,accept,False,9,8,17,6,2,2,code_quality_enh;dev_ops_enh,back_end_knowledge;infrastructure_knowledge,139,771,1,309,True,12,556,20,776,03_6-10,01_0-10,04_6+,04_11+,04_501+,04_251+,04_501+
ansible-502270c8,ansible,ok,reject,True,1,0,1,1,1,2,refactoring_enh,back_end_knowledge;infrastructure_knowledge,154,104,4,254,True,1,233,1,2,01_1-2,01_0-10,01_1,01_1,03_201-500,01_0-20,02_101-250
ansible-5260527c,ansible,leaked,reject,True,3,8,11,1,2,3,security_bug;major_bug,back_end_knowledge;security_knowledge;devops_knowledge,191,153,0,66,True,4,105,2,28,02_3-5,01_0-10,01_1,03_4-10,02_51-200,02_21-100,02_101-250
ansible-5640093f,ansible,leaked,accept,False,4,0,4,1,2,2,regression_bug;compatibility_bug,back_end_knowledge;infrastructure_knowledge,306,359,1,5,False,5,31,5,215,02_3-5,01_0-10,01_1,03_4-10,01_0-50,03_101-250,03_251-500
ansible-5c225dc0,ansible,ok,reject,True,1,7,8,1,1,1,core_feat,back_end_knowledge,250,73,0,51,True,3,38,1,4,01_1-2,01_0-10,01_1,02_2-3,01_0-50,01_0-20,01_0-100
ansible-5d253a13,ansible,leaked,reject,True,3,26,29,1,2,3,minor_bug;refactoring_enh,back_end_knowledge;devops_knowledge;infrastructure_knowledge,183,283,1,5,False,1,122,1,122,02_3-5,02_11-50,01_1,01_1,02_51-200,03_101-250,03_251-500
ansible-5e88cd99,ansible,ok,reject,True,3,0,3,1,4,4,core_feat;api_feat;integration_feat;security_feat,back_end_knowledge;infrastructure_knowledge;api_knowledge;security_knowledge,294,236,8,112,True,1,200,1,76,02_3-5,01_0-10,01_1,01_1,02_51-200,02_21-100,02_101-250
ansible-5f4e332e,ansible,leaked,reject,True,5,59,64,2,1,2,data_bug,back_end_knowledge;devops_knowledge,224,167,1,5,False,2,52,7,48,02_3-5,03_51-100,02_2,02_2-3,02_51-200,02_21-100,02_101-250
ansible-622a493a,ansible,ok,reject,True,9,0,9,1,2,3,core_feat;integration_feat,infrastructure_knowledge;devops_knowledge;networking_knowledge,205,246,8,132,True,1,270,7,110,03_6-10,01_0-10,01_1,01_1,03_201-500,03_101-250,02_101-250
ansible-6cc97447,ansible,ok,reject,True,8,55,63,4,4,3,compatibility_bug;edge_case_bug;code_quality_enh;refactoring_enh,back_end_knowledge;api_knowledge;devops_knowledge,499,366,1,5,False,7,83,9,88,03_6-10,03_51-100,03_3-5,03_4-10,02_51-200,02_21-100,03_251-500
ansible-70948496,ansible,ok,accept,True,4,5,9,1,3,3,compatibility_bug;code_quality_enh;major_bug,back_end_knowledge;desktop_knowledge;infrastructure_knowledge,159,387,1,8,False,3,88,1,251,02_3-5,01_0-10,01_1,02_2-3,02_51-200,04_251+,03_251-500
ansible-748f5343,ansible,ok,reject,True,3,4,7,1,3,3,major_bug;compatibility_bug;integration_bug,back_end_knowledge;devops_knowledge;infrastructure_knowledge,193,251,9,5,False,2,88,1,63,02_3-5,01_0-10,01_1,02_2-3,02_51-200,02_21-100,03_251-500
ansible-77658704,ansible,leaked,accept,True,33,8,41,1,3,4,core_feat;api_feat;integration_feat,back_end_knowledge;devops_knowledge;networking_knowledge;api_knowledge,299,246,10,73,True,1,148,2,773,05_26+,01_0-10,01_1,01_1,02_51-200,04_251+,02_101-250
ansible-7e1a3476,ansible,ok,reject,False,5,0,5,1,2,4,core_feat;integration_feat,infrastructure_knowledge;networking_knowledge;devops_knowledge;back_end_knowledge,113,328,0,467,True,1,328,2,130,02_3-5,01_0-10,01_1,01_1,03_201-500,03_101-250,03_251-500
ansible-83fb24b9,ansible,ok,reject,False,1,21,22,1,1,2,core_feat,networking_knowledge;back_end_knowledge,182,70,1,6,False,2,22,1,36,01_1-2,02_11-50,01_1,02_2-3,01_0-50,02_21-100,01_0-100
ansible-9142be2f,ansible,ok,reject,False,2,22,24,1,3,3,major_bug;regression_bug;code_quality_enh,back_end_knowledge;infrastructure_knowledge;devops_knowledge,321,195,1,8,False,2,81,1,5,01_1-2,02_11-50,01_1,02_2-3,02_51-200,01_0-20,02_101-250
ansible-935528e2,ansible,narrow_tests,accept,False,8,10,18,1,2,2,edge_case_bug;integration_bug,back_end_knowledge;devops_knowledge,226,222,1,5,False,8,259,2,69,03_6-10,01_0-10,01_1,03_4-10,03_201-500,02_21-100,02_101-250
ansible-942424e1,ansible,narrow_tests,reject,False,1,35,36,1,3,3,major_bug;integration_bug;edge_case_bug,back_end_knowledge;infrastructure_knowledge;devops_knowledge,140,114,0,5,False,2,163,1,2,01_1-2,02_11-50,01_1,02_2-3,02_51-200,01_0-20,02_101-250
ansible-9759e0ca,ansible,leaked,accept,False,15,15,30,1,3,3,core_feat;code_quality_enh;dev_ops_enh,back_end_knowledge;api_knowledge;devops_knowledge,168,191,7,5,False,6,102,6,348,04_11-25,02_11-50,01_1,03_4-10,02_51-200,04_251+,02_101-250
ansible-984216f5,ansible,leaked,reject,False,1,15,16,2,2,3,major_bug;regression_bug,back_end_knowledge;devops_knowledge;api_knowledge,300,236,1,225,True,8,286,2,17,01_1-2,02_11-50,02_2,03_4-10,03_201-500,01_0-20,02_101-250
ansible-9a21e247,ansible,ok,reject,False,6,8,14,6,4,3,compatibility_bug;edge_case_bug;minor_bug;integration_bug,back_end_knowledge;devops_knowledge;infrastructure_knowledge,129,99,3,5,False,2,63,3,45,03_6-10,01_0-10,04_6+,02_2-3,02_51-200,02_21-100,01_0-100
ansible-a02e22e9,ansible,leaked,reject,True,17,39,56,1,3,4,compatibility_bug;ui_ux_bug;performance_bug,devops_knowledge;infrastructure_knowledge;networking_knowledge;api_knowledge,642,358,1,94,True,5,35,4,153,04_11-25,02_11-50,01_1,03_4-10,01_0-50,03_101-250,03_251-500
