task_id,repo,new_eval_verdict,alignment_verdict,agent_success,agent_required_tests_passed,agent_required_tests_total,swebench_fail_to_pass_total,swebench_pass_to_pass_total,required_total_matches_swebench,required_total_bucket,interface_kind,interface_meaningful,interface_placeholder_no_new,requirements_meaningful,requirements_placeholder,interface_char_count,requirements_char_count,source_lines_changed,test_lines_changed,source_file_count,test_file_count,is_multi_file,is_multi_package,is_refactoring
ansible-3889ddeb,ansible,accept,narrow_tests,False,21,27,8,19,True,03_21-100,meaningful,True,False,True,False,1792,1011,61,334,2,10,FALSE,TRUE,FALSE
ansible-39bd8b99,ansible,reject,ok,False,0,1,1,0,True,01_1-5,meaningful,True,False,True,False,1048,1519,99,5,2,1,FALSE,TRUE,FALSE
ansible-3b823d90,ansible,reject,ok,True,31,31,1,30,True,03_21-100,placeholder_no_new,False,True,True,False,32,822,45,21,7,3,TRUE,TRUE,FALSE
ansible-3db08adb,ansible,reject,ok,True,49,49,2,47,True,03_21-100,placeholder_no_new,False,True,True,False,33,1043,46,18,3,1,TRUE,TRUE,FALSE
ansible-415e08c2,ansible,reject,leaked,True,11,11,9,2,True,02_6-20,meaningful,True,False,True,False,1495,2382,72,43,3,2,TRUE,TRUE,FALSE
ansible-48915637,ansible,reject,narrow_tests,False,1,3,3,0,True,01_1-5,meaningful,True,False,True,False,632,769,90,36,3,1,TRUE,TRUE,FALSE
ansible-4c5ce5a1,ansible,accept,ok,False,15,17,9,8,True,02_6-20,meaningful,True,False,True,False,2124,5212,556,776,12,13,TRUE,TRUE,FALSE
ansible-502270c8,ansible,reject,ok,True,1,1,1,0,True,01_1-5,meaningful,True,False,True,False,2224,742,233,2,1,1,FALSE,FALSE,FALSE
ansible-5260527c,ansible,reject,leaked,True,11,11,3,8,True,02_6-20,meaningful,True,False,True,False,430,1057,106,28,4,2,TRUE,TRUE,FALSE
ansible-5640093f,ansible,accept,leaked,False,0,4,4,0,True,01_1-5,placeholder_no_new,False,True,True,False,32,2594,31,215,5,5,TRUE,TRUE,FALSE
ansible-5c225dc0,ansible,reject,ok,True,8,8,1,7,True,02_6-20,meaningful,True,False,True,False,326,515,38,4,3,1,TRUE,TRUE,FALSE
ansible-5d253a13,ansible,reject,leaked,True,29,29,3,26,True,03_21-100,placeholder_no_new,False,True,True,False,33,1823,122,122,1,1,FALSE,FALSE,FALSE
ansible-5e88cd99,ansible,reject,ok,True,3,3,3,0,True,01_1-5,meaningful,True,False,True,False,827,1599,200,76,1,1,FALSE,FALSE,FALSE
ansible-5f4e332e,ansible,reject,leaked,True,64,64,5,59,True,03_21-100,placeholder_no_new,False,True,True,False,33,1162,52,48,2,7,FALSE,TRUE,FALSE
ansible-622a493a,ansible,reject,ok,True,9,9,9,0,True,02_6-20,meaningful,True,False,True,False,930,1697,270,110,1,7,FALSE,FALSE,FALSE
ansible-6cc97447,ansible,reject,ok,True,63,63,8,55,True,03_21-100,placeholder_no_new,False,True,True,False,33,2374,83,88,7,9,TRUE,FALSE,FALSE
ansible-70948496,ansible,accept,ok,True,9,9,4,5,True,02_6-20,placeholder_no_new,False,True,True,False,39,2276,88,251,3,1,TRUE,TRUE,FALSE
ansible-748f5343,ansible,reject,ok,True,7,7,3,4,True,02_6-20,placeholder_no_new,False,True,True,False,33,1603,88,63,2,1,FALSE,TRUE,FALSE
ansible-77658704,ansible,accept,leaked,True,41,41,33,8,True,03_21-100,meaningful,True,False,True,False,557,1649,148,773,1,2,FALSE,FALSE,FALSE
ansible-7e1a3476,ansible,reject,ok,False,2,5,5,0,True,01_1-5,meaningful,True,False,True,False,3281,2310,328,130,1,2,FALSE,FALSE,FALSE
ansible-83fb24b9,ansible,reject,ok,False,21,22,1,21,True,03_21-100,placeholder_no_new,False,True,True,False,35,437,22,36,2,1,FALSE,TRUE,FALSE
ansible-9142be2f,ansible,reject,ok,False,22,24,2,22,True,03_21-100,placeholder_no_new,False,True,True,False,39,1276,81,5,2,1,FALSE,TRUE,FALSE
ansible-935528e2,ansible,accept,narrow_tests,False,10,18,8,10,True,02_6-20,placeholder_no_new,False,True,True,False,33,1727,259,69,8,2,TRUE,TRUE,FALSE
ansible-942424e1,ansible,reject,narrow_tests,False,35,36,1,35,True,03_21-100,placeholder_no_new,False,True,True,False,33,825,163,2,2,1,FALSE,TRUE,FALSE
ansible-9759e0ca,ansible,accept,leaked,False,15,30,15,15,True,03_21-100,placeholder_no_new,False,True,True,False,32,1410,102,348,6,6,TRUE,TRUE,FALSE
ansible-984216f5,ansible,reject,leaked,False,15,16,1,15,True,02_6-20,meaningful,True,False,True,False,1649,2006,286,17,8,2,TRUE,FALSE,FALSE
ansible-9a21e247,ansible,reject,ok,False,11,14,6,8,True,02_6-20,placeholder_no_new,False,True,True,False,33,673,63,45,2,3,FALSE,TRUE,FALSE
ansible-a02e22e9,ansible,reject,leaked,True,56,56,17,39,True,03_21-100,meaningful,True,False,True,False,625,2493,35,153,5,4,TRUE,TRUE,FALSE
ansible-a1569ea4,ansible,reject,narrow_tests,False,23,27,6,21,True,03_21-100,placeholder_no_new,False,True,True,False,32,1454,59,61,2,2,FALSE,TRUE,FALSE
ansible-a20a5270,ansible,reject,leaked,True,57,57,1,56,True,03_21-100,placeholder_no_new,False,True,True,False,32,897,50,126,2,3,FALSE,TRUE,FALSE
ansible-a26c325b,ansible,reject,leaked,True,42,42,4,38,True,03_21-100,placeholder_no_new,False,True,True,False,33,1298,70,174,5,8,TRUE,TRUE,FALSE
ansible-a7d2a4e0,ansible,reject,ok,True,9,9,2,7,True,02_6-20,meaningful,True,False,True,False,744,1567,38,18,4,1,TRUE,TRUE,FALSE
ansible-b5e02936,ansible,accept,leaked,False,6,7,3,4,True,02_6-20,placeholder_no_new,False,True,True,False,33,2270,54,46,2,2,FALSE,TRUE,FALSE
ansible-b6290e1d,ansible,reject,leaked,False,6,8,8,0,True,02_6-20,meaningful,True,False,True,False,4168,2987,582,166,1,2,FALSE,FALSE,FALSE
ansible-b8025ac1,ansible,accept,ok,False,38,42,4,38,True,03_21-100,meaningful,True,False,True,False,1028,1470,520,101,5,7,TRUE,TRUE,FALSE
ansible-be2c376a,ansible,reject,leaked,True,16,16,2,14,True,02_6-20,placeholder_no_new,False,True,True,False,33,958,59,75,2,1,FALSE,TRUE,FALSE
ansible-be59caa5,ansible,reject,narrow_tests,True,23,23,1,22,True,03_21-100,placeholder_no_new,False,True,True,False,33,1640,35,63,2,1,FALSE,TRUE,FALSE
ansible-bec27fb4,ansible,reject,narrow_tests,False,17,20,3,17,True,02_6-20,placeholder_no_new,False,True,True,False,32,2299,467,499,7,13,TRUE,TRUE,FALSE
ansible-bf98f031,ansible,accept,ok,False,8,9,4,5,True,02_6-20,meaningful,True,False,True,False,994,2583,108,105,4,2,TRUE,TRUE,FALSE
ansible-c616e54a,ansible,reject,leaked,False,0,6,6,0,True,02_6-20,meaningful,True,False,True,False,1723,3013,2028,217,4,13,TRUE,TRUE,FALSE
ansible-cb94c0cc,ansible,reject,ok,True,9,9,1,8,True,02_6-20,meaningful,True,False,True,False,1984,2048,43,9,5,3,TRUE,TRUE,FALSE
ansible-cd473dfb,ansible,reject,leaked,True,47,47,17,30,True,03_21-100,placeholder_no_new,False,True,True,False,32,1801,37,381,2,2,FALSE,TRUE,FALSE
ansible-cd9c4eb5,ansible,reject,ok,True,1,1,1,0,True,01_1-5,meaningful,True,False,True,False,564,393,28,264,2,2,FALSE,TRUE,FALSE
ansible-d2f80991,ansible,accept,ok,False,56,61,5,56,True,03_21-100,meaningful,True,False,True,False,477,1656,310,467,4,9,TRUE,TRUE,FALSE
ansible-d30fc6c0,ansible,accept,leaked,False,55,58,3,55,True,03_21-100,placeholder_no_new,False,True,True,False,33,1337,117,105,2,4,FALSE,TRUE,FALSE
ansible-d58e69c8,ansible,accept,leaked,False,37,40,2,38,True,03_21-100,meaningful,True,False,True,False,1011,2446,136,216,3,6,TRUE,FALSE,FALSE
ansible-d62496fe,ansible,reject,ok,True,96,96,4,92,True,03_21-100,placeholder_no_new,False,True,True,False,28,1003,35,73,3,1,TRUE,TRUE,FALSE
ansible-d9f18662,ansible,reject,ok,False,1,2,1,1,True,01_1-5,placeholder_no_new,False,True,True,False,39,1457,28,5,3,1,TRUE,TRUE,FALSE
ansible-de01db08,ansible,reject,ok,True,4,4,1,3,True,01_1-5,placeholder_no_new,False,True,True,False,33,1124,51,2,3,1,TRUE,TRUE,FALSE
ansible-deb54e4c,ansible,reject,leaked,True,61,61,5,56,True,03_21-100,placeholder_no_new,False,True,True,False,33,897,49,11,5,1,TRUE,TRUE,FALSE
ansible-e22e103c,ansible,reject,narrow_tests,True,30,30,4,26,True,03_21-100,placeholder_no_new,False,True,True,False,33,1821,30,8,2,1,FALSE,TRUE,FALSE
ansible-e40889e7,ansible,accept,leaked,False,191,209,18,191,True,04_101+,meaningful,True,False,True,False,5759,2617,647,333,10,13,TRUE,TRUE,FALSE
ansible-e64c6c1c,ansible,reject,leaked,False,1,6,5,1,True,02_6-20,placeholder_no_new,False,True,True,False,33,642,28,53,2,1,FALSE,TRUE,FALSE
ansible-ed6581e4,ansible,reject,ok,True,59,59,1,58,True,03_21-100,placeholder_no_new,False,True,True,False,33,2496,44,12,1,1,FALSE,FALSE,FALSE
ansible-eea46a0d,ansible,reject,leaked,False,9,10,10,0,True,02_6-20,meaningful,True,False,True,False,2528,1372,501,228,9,5,TRUE,TRUE,FALSE
ansible-f02a62db,ansible,reject,ok,False,1,7,7,0,True,02_6-20,meaningful,True,False,True,False,3182,3365,215,436,1,4,FALSE,FALSE,FALSE
ansible-f327e65d,ansible,reject,leaked,True,175,175,4,171,True,04_101+,placeholder_no_new,False,True,True,False,32,621,61,29,2,2,FALSE,FALSE,FALSE
ansible-f86c58e2,ansible,accept,ok,False,11,15,15,0,True,02_6-20,placeholder_no_new,False,True,True,False,32,1453,88,72,3,1,TRUE,TRUE,FALSE
ansible-fb144c44,ansible,reject,ok,True,12,12,5,7,True,02_6-20,meaningful,True,False,True,False,352,1163,68,35,4,1,TRUE,TRUE,FALSE
openlibrary-00bec1e7,openlibrary,reject,ok,True,18,18,3,15,True,02_6-20,meaningful,True,False,True,False,1506,1928,69,28,2,1,FALSE,FALSE,FALSE
openlibrary-03095f26,openlibrary,reject,ok,False,0,3,2,1,True,01_1-5,meaningful,True,False,True,False,516,1512,53,277,1,1,FALSE,FALSE,FALSE
openlibrary-09865f5f,openlibrary,accept,ok,False,11,13,2,11,True,02_6-20,meaningful,True,False,True,False,1506,3302,123,44,6,1,TRUE,TRUE,FALSE
openlibrary-0a90f9f0,openlibrary,accept,ok,True,33,33,16,17,True,03_21-100,meaningful,True,False,True,False,2178,3227,170,233,3,3,TRUE,FALSE,FALSE
openlibrary-0d13e6b4,openlibrary,reject,ok,True,10,10,10,0,True,02_6-20,meaningful,True,False,True,False,632,1260,75,24,1,1,FALSE,FALSE,FALSE
openlibrary-0dc5b20f,openlibrary,accept,skipped,False,56,57,2,55,True,03_21-100,meaningful,True,False,True,False,477,1805,62,14,1,2,FALSE,FALSE,FALSE
openlibrary-11838fad,openlibrary,accept,leaked,False,82,87,54,33,True,03_21-100,placeholder_no_new,False,True,True,False,32,1947,133,612,1,13,FALSE,FALSE,FALSE
openlibrary-1351c59f,openlibrary,reject,leaked,True,17,17,1,16,True,02_6-20,meaningful,True,False,True,False,441,576,73,63,3,4,TRUE,FALSE,FALSE
openlibrary-1894cb48,openlibrary,accept,leaked,True,63,63,1,62,True,03_21-100,meaningful,True,False,True,False,735,926,106,71,3,2,TRUE,FALSE,FALSE
openlibrary-1be7de78,openlibrary,reject,ok,True,6,6,6,0,True,02_6-20,meaningful,True,False,True,False,1832,1446,148,342,4,3,TRUE,FALSE,FALSE
openlibrary-2abe28b4,openlibrary,reject,ok,True,24,24,4,20,True,03_21-100,placeholder_no_new,False,True,True,False,33,866,24,176,1,2,FALSE,FALSE,FALSE
openlibrary-2fe532a3,openlibrary,accept,ok,True,24,24,4,20,True,03_21-100,placeholder_no_new,False,True,True,False,32,483,28,184,2,2,FALSE,TRUE,FALSE
openlibrary-308a35d6,openlibrary,reject,ok,False,12,14,2,12,True,02_6-20,meaningful,True,False,True,False,325,513,244,62,6,3,TRUE,FALSE,FALSE
openlibrary-30bc73a1,openlibrary,reject,leaked,False,1,3,3,0,True,01_1-5,meaningful,True,False,True,False,3718,660,623,36,4,1,TRUE,FALSE,FALSE
openlibrary-3f7db6bb,openlibrary,reject,ok,True,6,6,6,0,True,02_6-20,meaningful,True,False,True,False,3690,378,208,89,2,1,FALSE,TRUE,FALSE
openlibrary-427f1f4e,openlibrary,reject,ok,True,8,8,4,4,True,02_6-20,placeholder_no_new,False,True,True,False,32,664,46,18,2,1,FALSE,TRUE,FALSE
openlibrary-431442c9,openlibrary,accept,ok,True,7,7,7,0,True,02_6-20,meaningful,True,False,True,False,655,716,56,32,2,1,FALSE,FALSE,FALSE
openlibrary-43f9e7e0,openlibrary,reject,narrow_tests,True,61,61,1,60,True,03_21-100,placeholder_no_new,False,True,True,False,33,927,29,42,1,1,FALSE,FALSE,FALSE
openlibrary-4a5d2a7d,openlibrary,reject,ok,True,9,9,1,8,True,02_6-20,meaningful,True,False,True,False,755,746,92,31,3,1,TRUE,FALSE,FALSE
openlibrary-5069b09e,openlibrary,accept,ok,True,3,3,1,2,True,01_1-5,placeholder_no_new,False,True,True,False,32,450,54,36,6,1,TRUE,FALSE,FALSE
openlibrary-53e02a22,openlibrary,reject,leaked,False,25,26,1,25,True,03_21-100,meaningful,True,False,True,False,397,1807,403,11,6,1,TRUE,TRUE,FALSE
openlibrary-5c6c22f3,openlibrary,reject,ok,True,22,22,8,14,True,03_21-100,meaningful,True,False,True,False,753,1807,82,166,2,2,FALSE,FALSE,FALSE
openlibrary-5de7de19,openlibrary,reject,ok,False,9,25,16,9,True,03_21-100,meaningful,True,False,True,False,722,1192,88,54,3,1,TRUE,FALSE,FALSE
openlibrary-5fb31263,openlibrary,accept,leaked,False,9,11,4,7,True,02_6-20,meaningful,True,False,True,False,569,902,146,134,8,1,TRUE,TRUE,FALSE
openlibrary-60725705,openlibrary,reject,ok,True,4,4,1,3,True,01_1-5,meaningful,True,False,True,False,383,675,76,10,4,1,TRUE,FALSE,FALSE
openlibrary-62d22431,openlibrary,accept,ok,False,0,1,1,0,True,01_1-5,meaningful,True,False,True,False,1363,1734,100,19,2,1,FALSE,FALSE,FALSE
openlibrary-6a117fab,openlibrary,reject,leaked,True,2,2,1,1,True,01_1-5,meaningful,True,False,True,False,1466,589,120,1,7,1,TRUE,FALSE,FALSE
openlibrary-6afdb09d,openlibrary,reject,ok,True,6,6,2,4,True,02_6-20,placeholder_no_new,False,True,True,False,33,1558,30,22,1,1,FALSE,FALSE,FALSE
openlibrary-6e889f4a,openlibrary,accept,ok,False,14,15,5,10,True,02_6-20,meaningful,True,False,True,False,1045,2621,104,184,2,3,FALSE,FALSE,FALSE
