task_id,repo,github_pr,commit_sha,base_sha,merge_base_sha,title,human_reviewer_comments,new_eval_verdict,new_alignment_verdict,new_eval_reason,new_alignment_reason,swebench_instance_id,author,date,score,has_test_patch,is_multi_file,is_multi_package,is_refactoring,packages_touched,package_names,source_files,test_files,other_files,source_lines_changed,test_lines_changed,f2p_tests,p2p_tests,summary,match_key_used,new_task_id,new_stage,new_hardness_band,new_hardness_verdict,new_alignment_verdict,new_alignment_reason,new_needs_human_review,new_human_review_reason,new_swebench_instance_id,new_commit_sha,agent_success
ansible-1ee70fc2,ansible,,1ee70fc272aff6bf3415357c6e13c5de5b928d9b,9281148b623d4e2e8302778d91af3e84ab9579a9,9281148b623d4e2e8302778d91af3e84ab9579a9,"""###Title \n Inconsistent Python identifier validation behavior between Python 2 and Python 3 in ansible.utils.vars.isid",,reject,ok,"Matches BT1 pattern — trivial core logic in a complex repo. The core change replaces an ast-based identifier check with str.isidentifier() on PY3 and a regex check on PY2, plus adds keyword/ascii checks. This is a straightforward find-and-replace refactor with no integration complexity; the function signature and usage remain identical. All models would follow the same strategy: replace the implementation of `isidentifier` with the appropriate Python-version-specific checks. Q1 (model divergence) fails — there is essentially one obvious approach. Q2 (genuinely hard) fails — the logic is simple string validation with no cross-module reasoning or architectural decisions required.","The instruction and tests are closely aligned on the public behavior of `ansible.utils.vars.isidentifier`. The tests check that valid identifiers like `""foo""` and `""foo1_23""` return true, that invalid cases such as `""pass""`, whitespace-containing strings, numeric-leading strings, empty strings, and dashed names return false, and that `""True""`, `""False""`, `""None""`, and non-ASCII `""křížek""` are rejected. These behaviors are explicitly specified in the instruction: it says the function must treat empty strings and strings containing whitespaces as invalid, reject non-ASCII characters to unify Python 2/3 behavior, and reject `""True""`, `""False""`, and `""None""` on Python 2 as well. The tests only call the public API `from ansible.utils.vars import isidentifier` and assert behavioral outcomes, not private internals or formatting details.",instance_ansible__ansible-1ee70fc272aff6bf3415357c6e13c5de5b928d9b-v1055803c3a812189a1133297f7f5468579283f86,swebench-pro,,3,TRUE,FALSE,FALSE,FALSE,1,lib,lib/ansible/utils/vars.py,test/units/utils/test_isidentifier.py,,63,49,,,,swebench_instance_id,ansible-1ee70fc2,rejected,,,,,FALSE,,instance_ansible__ansible-1ee70fc272aff6bf3415357c6e13c5de5b928d9b-v1055803c3a812189a1133297f7f5468579283f86,1ee70fc272aff6bf3415357c6e13c5de5b928d9b,TRUE
ansible-29aea9ff,ansible,,29aea9ff3466e4cd2ed00524b9e56738d568ce8b,270f109bb3af5c2498725b384f77ddc26da2fb73,270f109bb3af5c2498725b384f77ddc26da2fb73,"""## Title\n\nConstructed inventory: Keyed groups generate useless names with empty values ​​and lack of substitution/omi",,accept,narrow_tests,"Q1: Models will diverge on how they handle the integration of two new mutually exclusive options (default_value and trailing_separator) into an existing keyed_groups processing loop that handles three different data types (str, list, dict). The preservation-while-adding principle applies: the existing behavior for non-empty values and the empty-string-with-no-options case must remain unchanged while adding new branching logic. Q3: Both unit tests and integration tests exist. Q4: Pure Python. Q5: Pre-Sept-2025 commit in a well-known repo (ansible), moderate contamination risk, but the specific feature (keyed_groups empty value handling) is niche enough.","The tests require use of a private internal API that the instruction never names. The reference tests call `inventory_module._add_host_to_keyed_groups(...)` and manipulate internals like `r._options = {'leading_separator': True}` in the fixture, but the instruction says only `""No new interfaces are introduced""` and does not mention this non-public method or fixture-dependent setup. Under the V4 helpers layer, that means a valid implementation could satisfy the described behavior yet fail the tests because the helpers can only reach one specific internal symbol. Evidence: test fixture sets `r._options = {'leading_separator': True}` and tests invoke `inventory_module._add_host_to_keyed_groups(...)`; instruction does not name either symbol. The assertions themselves are mostly aligned with the instruction, including the exact parser error message `parameters are mutually exclusive for keyed groups: default_value|trailing_separator`, which the instruction does specify exactly.",instance_ansible__ansible-29aea9ff3466e4cd2ed00524b9e56738d568ce8b-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,swebench-pro,,7,TRUE,TRUE,TRUE,FALSE,2,changelogs; lib,changelogs/fragments/74005-keyed_groups-specific-options-for-empty-value.yml; lib/ansible/plugins/doc_fragments/constructed.py; lib/ansible/plugins/inventory/__init__.py,test/integration/targets/inventory_constructed/keyed_group_default_value.yml; test/integration/targets/inventory_constructed/keyed_group_list_default_value.yml; test/integration/targets/inventory_constructed/keyed_group_str_default_value.yml; test/integration/targets/inventory_constructed/keyed_group_trailing_separator.yml; test/integration/targets/inventory_constructed/runme.sh; test/integration/targets/inventory_constructed/tag_inventory.yml; test/units/plugins/inventory/test_constructed.py,,61,191,,,,swebench_instance_id,ansible-29aea9ff,promising,,,,,FALSE,,instance_ansible__ansible-29aea9ff3466e4cd2ed00524b9e56738d568ce8b-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,29aea9ff3466e4cd2ed00524b9e56738d568ce8b,TRUE
ansible-34db57a4,ansible,,34db57a47f875d11c4068567b9ec7ace174ec4cf,d63a71e3f83fc23defb97393367859634881b8da,d63a71e3f83fc23defb97393367859634881b8da,"""# Missing fact for usable CPU count in containers\n\n## Description\n\nIn containerized environments such as OpenVZ, LX",,reject,ok,matches BT1 pattern — trivial core logic in a complex repo. The core change is adding a single fact (processor_nproc) by calling os.sched_getaffinity(0) with a fallback to running `nproc`. This is a straightforward addition with no architectural reasoning required. The integration is minimal — just appending a value to an existing dictionary within an already-located code block. All models would follow the same find-location-add-code strategy with no meaningful divergence. Q1 (model divergence): low — the logic is a simple try/except chain. Q2 (genuinely hard): no — it's a two-method fallback pattern with trivial wiring.,"The instruction and tests are closely aligned on both API and behavior. The instruction explicitly names the target implementation point — ""implemented in the Linux hardware facts collection, specifically in the method LinuxHardware.get_cpu_facts() located in lib/ansible/module_utils/facts/hardware/linux.py"" — and the tests call that exact method: ""assert test['expected_result'] == inst.get_cpu_facts(collected_facts=collected_facts)"". It also specifies the fallback order the tests exercise: ""If os.sched_getaffinity(0) is available... report the length... If os.sched_getaffinity is not available, the implementation must use ... get_bin_path ... self.module.run_command(cmd) ... If neither method succeeds, the fact must retain the initial value obtained from processor_occurence."" The tests correspondingly patch ""os.sched_getaffinity"" in one case and force ""side_effect=AttributeError"" plus ""get_bin_path"" and ""module.run_command.return_value"" in another. Finally, the instruction requires ""The key processor_nproc must be included in the returned facts dictionary and exposed through the setup module under the public name ansible_processor_nproc"" and the expected test results include ""'processor_nproc': ..."" while preserving existing facts like ""processor_vcpus"" unchanged.",instance_ansible__ansible-34db57a47f875d11c4068567b9ec7ace174ec4cf-v1055803c3a812189a1133297f7f5468579283f86,swebench-pro,,6.5,TRUE,TRUE,TRUE,FALSE,3,changelogs; docs; lib,changelogs/fragments/66569-introduce-fact-ansible_processor_nproc.yml; docs/docsite/rst/porting_guides/porting_guide_2.10.rst; docs/docsite/rst/user_guide/playbooks_variables.rst; lib/ansible/module_utils/facts/hardware/linux.py,test/units/module_utils/facts/hardware/linux_data.py; test/units/module_utils/facts/hardware/test_linux_get_cpu_info.py,,29,57,,,,swebench_instance_id,ansible-34db57a4,rejected,,,,,FALSE,,instance_ansible__ansible-34db57a47f875d11c4068567b9ec7ace174ec4cf-v1055803c3a812189a1133297f7f5468579283f86,34db57a47f875d11c4068567b9ec7ace174ec4cf,FALSE
ansible-3889ddeb,ansible,,3889ddeb4b780ab4bac9ca2e75f8c1991bcabe83,d5a740ddca57ed344d1d023383d4aff563657424,d5a740ddca57ed344d1d023383d4aff563657424,"""## Title: iptables - added a chain_management parameter to control chain\n\n## Description\n\nI’m managing custom IPtab",,accept,narrow_tests,"Q1: Models will diverge on how they integrate chain management into the existing iptables module's control flow. The commit requires understanding the existing branching structure (flush, policy, present/absent states), adding new helper functions, and correctly wiring chain creation/deletion into the right control flow paths while preserving existing rule management behavior. Q2: The core problem involves additive changes without regression — the new chain_management parameter must coexist with existing flush, policy, and rule management paths, and the agent must correctly handle the interaction between check_rule_present and check_chain_present. Q3: Both unit tests and integration tests are included. Q4: Pure Python. Design principle: 'Preserving existing behavior while adding new behavior is a genuine trap' — existing test expectations for run_command call counts change, requiring the agent to reason about how the new chain presence check affects all existing code paths.","The tests require behavior beyond the instruction’s stated contract. The instruction says deletion should occur only ""when `chain_management` is `true` and `state` is `absent`, and only the `chain` parameter and optionally the `table` parameter are provided,"" but the unit tests `test_chain_deletion` / `test_chain_deletion_check_mode` only pass `chain`, `state`, and `chain_management` and do not verify the restriction against extra rule parameters. More importantly, `test_chain_creation` expects a present-state invocation with only `chain` and `chain_management` to still perform rule-management flow: it asserts commands `['/sbin/iptables', '-t', 'filter', '-C', 'FOOBAR']` and then `['/sbin/iptables', '-t', 'filter', '-A', 'FOOBAR']`. The instruction instead says creation should happen ""without modifying or interfering with existing rules in that chain,"" which does not imply an append-rule operation on an otherwise ruleless request. The tests also bake in specific command sequencing and exact invocations (`-C` before `-L`, `-N`, `-A`) that are not required by the instruction.",instance_ansible__ansible-3889ddeb4b780ab4bac9ca2e75f8c1991bcabe83-v0f01c69f1e2528b935359cfe578530722bca2c59,swebench-pro,,6,TRUE,FALSE,TRUE,FALSE,2,changelogs; lib,changelogs/fragments/76378-iptables-chain-management.yml; lib/ansible/modules/iptables.py,test/integration/targets/iptables/aliases; test/integration/targets/iptables/tasks/chain_management.yml; test/integration/targets/iptables/tasks/main.yml; test/integration/targets/iptables/vars/alpine.yml; test/integration/targets/iptables/vars/centos.yml; test/integration/targets/iptables/vars/default.yml; test/integration/targets/iptables/vars/fedora.yml; test/integration/targets/iptables/vars/redhat.yml; test/integration/targets/iptables/vars/suse.yml; test/units/modules/test_iptables.py,,61,334,,,,swebench_instance_id,ansible-3889ddeb,promising,,,,,FALSE,,instance_ansible__ansible-3889ddeb4b780ab4bac9ca2e75f8c1991bcabe83-v0f01c69f1e2528b935359cfe578530722bca2c59,3889ddeb4b780ab4bac9ca2e75f8c1991bcabe83,FALSE
ansible-39bd8b99,ansible,,39bd8b99ec8c6624207bf3556ac7f9626dad9173,8502c2302871e35e59fb7092b4b01b937c934031,8502c2302871e35e59fb7092b4b01b937c934031,"""# `async_wrapper` produces inconsistent information across exit paths\n\n# Summary\n\nThe `async_wrapper` module return",,reject,ok,"Q1/Q2: This commit is a refactoring of error reporting and exit paths in async_wrapper — extracting `end()` and `jwrite()` helper functions, making exit paths consistent, and adding timeout information to the job file. The core logic is straightforward: replace scattered `print(json.dumps(...))/sys.exit()` patterns with a unified `end()` function, and replace scattered file-write patterns with `jwrite()`. This matches the BT1 pattern — trivial core logic (mechanical extraction of helper functions and consistent reporting) in a complex repo. The test changes are minimal (just updating the function signature and monkeypatching the global), offering almost no behavioral verification of the actual changes. Models will not diverge in strategy since the refactoring pattern is obvious and repetitive.","The instruction, tests, and diff are aligned around the same behavioral change. The instruction explicitly names the new public interfaces — ""Function: `end`"" and ""Function: `jwrite`"" in `lib/ansible/modules/async_wrapper.py` — and also specifies that job result files are written atomically and that all execution paths should produce consistent JSON. The reference test exercises `_run_module` writing a job file and now sets the global `job_path` before calling it: `monkeypatch.setattr(async_wrapper, 'job_path', job_path)` and `res = async_wrapper._run_module(command, jobid)`, then asserts the persisted JSON contains the module result and stderr. That matches the diff, which changes `_run_module(wrapped_cmd, jid, job_path)` to `_run_module(wrapped_cmd, jid)` and routes writes through `jwrite(...)` using global `job_path`. While the test does touch a non-public function `_run_module`, the instruction already exposes the key file/module context and new interfaces needed to predict this behavior, and the assertions are behavioral (`rc` and `stderr` in the job file), not fragile format checks.",instance_ansible__ansible-39bd8b99ec8c6624207bf3556ac7f9626dad9173-v1055803c3a812189a1133297f7f5468579283f86,swebench-pro,,3.5,TRUE,FALSE,TRUE,FALSE,2,changelogs; lib,changelogs/fragments/async_wrapper_reporting.yml; lib/ansible/modules/async_wrapper.py,test/units/modules/test_async_wrapper.py,,99,5,,,,swebench_instance_id,ansible-39bd8b99,rejected,,,,,FALSE,,instance_ansible__ansible-39bd8b99ec8c6624207bf3556ac7f9626dad9173-v1055803c3a812189a1133297f7f5468579283f86,39bd8b99ec8c6624207bf3556ac7f9626dad9173,FALSE
ansible-3b823d90,ansible,,3b823d908e8a5d17674f8c26d337d3114b7493b1,92df66480613d0f3c1f11ab27146e3162d2a5bd5,92df66480613d0f3c1f11ab27146e3162d2a5bd5,"""## Title: “More efficient vars file reads” regression causing performance issues\n\n## Summary\n\nDisabling the file ca",,reject,ok,"Q1/Q2: This is a parameter-type change from bool to string enum ('none'|'all'|'vaulted') for the cache parameter, with straightforward find-and-replace propagation across callers. The core logic change is trivial — adding an elif branch for 'vaulted' caching. All models would follow the same strategy: change the parameter type, update the caching logic with one conditional branch, and update all callers from True/False to the new string values. Matches BT1 pattern — trivial core logic in a complex repo. The surrounding Ansible codebase complexity doesn't make the actual change harder.","The instruction closely matches what the tests check. It explicitly requires that ""`DataLoader.load_from_file` must accept a `cache` parameter with at least the values `'none'` and `'vaulted'`"", that with `cache='none'` it ""must not add any entry to the internal file cache"", and that with `cache='vaulted'` on a vaulted file it ""must contain an entry"" and subsequent calls ""must return the cached result from the internal file cache instead of re-reading the file."" The added unit test in `test/units/parsing/test_dataloader.py` checks exactly those behaviors: `output = self._loader.load_from_file('dummy_vault.txt', cache='none')`, then `self.assertFalse(self._loader._FILE_CACHE)`, then `output = self._loader.load_from_file('dummy_vault.txt', cache='vaulted')` and `self.assertTrue(self._loader._FILE_CACHE)`, followed by overwriting the cache and asserting the next `cache='vaulted'` call returns the cached object. The integration/plugin test updates from `cache=False` to `cache='none'`, which is also directly covered by the instruction’s stated cache parameter contract. Although the tests touch the internal attribute `_FILE_CACHE`, the instruction itself names ""the internal file cache,"" so a senior engineer could reasonably predict that cache state would be asserted.",instance_ansible__ansible-3b823d908e8a5d17674f8c26d337d3114b7493b1-v0f01c69f1e2528b935359cfe578530722bca2c59,swebench-pro,,6.5,TRUE,TRUE,TRUE,FALSE,2,changelogs; lib,changelogs/fragments/81995-enable_file_cache.yml; lib/ansible/parsing/dataloader.py; lib/ansible/plugins/inventory/__init__.py; lib/ansible/plugins/inventory/auto.py; lib/ansible/plugins/inventory/yaml.py; lib/ansible/plugins/vars/host_group_vars.py; lib/ansible/vars/manager.py,test/integration/targets/rel_plugin_loading/subdir/inventory_plugins/notyaml.py; test/units/mock/loader.py; test/units/parsing/test_dataloader.py,,45,21,,,,swebench_instance_id,ansible-3b823d90,rejected,,,,,FALSE,,instance_ansible__ansible-3b823d908e8a5d17674f8c26d337d3114b7493b1-v0f01c69f1e2528b935359cfe578530722bca2c59,3b823d908e8a5d17674f8c26d337d3114b7493b1,TRUE
ansible-3db08adb,ansible,,3db08adbb1cc6aa9941be5e0fc810132c6e1fa4b,709484969c8a4ffd74b839a673431a8c5caa6457,709484969c8a4ffd74b839a673431a8c5caa6457,"""### Issue title: Pass attribute to the max filter and min filter\n\n## SUMMARY:\n\nThe jinja2 filter for max and min al",,reject,ok,"Q1/Q2: matches AL1/BT1 pattern — trivial core logic. The change is a straightforward parameter passthrough: import Jinja2's do_min/do_max if available, delegate kwargs to them, otherwise raise an error. The integration is mechanical (add @environmentfilter decorator, forward **kwargs). No architectural reasoning or cross-module wiring is needed. Models will not diverge in strategy — every model will follow the same obvious pattern of conditional import + delegation. Q5: High contamination risk — this is a well-known GitHub issue (#50909) from a very popular repo (ansible) with clear discussion, pre-dating the Sept 2025 cutoff by years.","The instruction and tests are closely aligned on both API and behavior. The instruction explicitly requires that ""The `min` and `max` filter functions in `mathstuff.py` must support the keyword arguments (at least 'attribute' and 'case_sensitive')"" and that ""If Jinja2’s enhanced filters (`do_min` and `do_max`) are available, the filters must forward all keyword arguments"". The reference tests check exactly those behaviors: `assert ms.min(env, ({'key': 'a'}, {'key': 'b'}, {'key': 'c'}), attribute='key') == {'key': 'a'}` and `assert ms.max(env, ('a', 'A', 'b', 'B'), case_sensitive=True) == 'b'`. The instruction also specifies the environmentfilter design choice — ""The min and max functions must be decorated with `@environmentfilter`"" — which matches the fixture change to call `ms.min(env, ...)` / `ms.max(env, ...)`. There are no helper-layer violations, and the tests shown do not assert any unstated format-only details for min/max beyond the specified behavior.",instance_ansible__ansible-3db08adbb1cc6aa9941be5e0fc810132c6e1fa4b-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,swebench-pro,,6,TRUE,TRUE,TRUE,FALSE,3,changelogs; docs; lib,changelogs/fragments/50909-min-max-attrs.yml; docs/docsite/rst/user_guide/playbooks_filters.rst; lib/ansible/plugins/filter/mathstuff.py,test/units/plugins/filter/test_mathstuff.py,,46,18,,,,swebench_instance_id,ansible-3db08adb,rejected,,,,,FALSE,,instance_ansible__ansible-3db08adbb1cc6aa9941be5e0fc810132c6e1fa4b-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,3db08adbb1cc6aa9941be5e0fc810132c6e1fa4b,TRUE
ansible-415e08c2,ansible,,415e08c2970757472314e515cb63a51ad825c45e,f05bcf569367904985c0e5796a4c14ce0b7d4be9,f05bcf569367904985c0e5796a4c14ce0b7d4be9,Title: `_check_locale` fallback to `'C'` locale may cause Unicode issues in output parsing,,reject,leaked,"matches AL1 pattern — trivial core logic. The commit adds a small utility function (get_best_parsable_locale) that iterates through a preference list and matches against `locale -a` output, then wires it into a single catch block in basic.py. The core logic is a simple list-membership check (~10 lines of meaningful code). While there is some integration (importing into basic.py, updating the exception handler, updating recursive_finder test), the actual problem-solving is straightforward with no architectural reasoning required. Models will not meaningfully diverge in approach — every agent will create the locale.py file with the preference-matching logic and update the except block. Q2: core problem is not genuinely hard.","The instruction essentially encodes the exact implementation and test contract. It names the precise helper, path, signature, default constant, command invocation, fallback behavior, and even the private method integration point: ""A helper named `get_best_parsable_locale` must exist at `ansible/module_utils/common/locale.py`"", ""Default preference order when `preferences is None` must be exactly `['C.utf8', 'en_US.utf8', 'C', 'POSIX']`"", and ""In `ansible/module_utils/basic.py::_check_locale`, the first attempt must remain `locale.setlocale(locale.LC_ALL, '')`."" Those details directly mirror the tests and diff rather than describing the bug at a higher level.",instance_ansible__ansible-415e08c2970757472314e515cb63a51ad825c45e-v7eee2454f617569fd6889f2211f75bc02a35f9f8,swebench-pro,,6.5,TRUE,TRUE,TRUE,FALSE,2,changelogs; lib,changelogs/fragments/parseable_locale.yml; lib/ansible/module_utils/basic.py; lib/ansible/module_utils/common/locale.py,test/units/executor/module_common/test_recursive_finder.py; test/units/module_utils/common/test_locale.py,,72,43,,,,swebench_instance_id,ansible-415e08c2,rejected,,,,,FALSE,,instance_ansible__ansible-415e08c2970757472314e515cb63a51ad825c45e-v7eee2454f617569fd6889f2211f75bc02a35f9f8,415e08c2970757472314e515cb63a51ad825c45e,TRUE
ansible-48915637,ansible,,489156378c8e97374a75a544c7c9c2c0dd8146d1,5ee81338fcf7adbc1a8eda26dd8105a07825cb08,5ee81338fcf7adbc1a8eda26dd8105a07825cb08,Meraki modules fail immediately on HTTP 429/500/502 responses from the Meraki API,,reject,narrow_tests,"Q1/Q2: The core logic is a straightforward retry-with-backoff decorator wrapping a single `request` method. The pattern is well-known (catch specific status codes, sleep, retry with multiplier, raise after timeout). There is minimal integration complexity — the decorator is applied to one method, two new params are added to the argument spec, and custom exceptions are defined. Models will converge on the same find-the-request-method, wrap-with-retry approach. Additionally, Q5 contamination risk is high: this is a well-known Ansible repo with a clear GitHub issue title describing the exact problem and solution. Matches BT1 pattern — trivial core logic in a complex repo.","The tests require an unstated implementation detail for the successful-after-retries path. The instruction says only: ""If a sequence of 429 responses is followed by a successful response (2xx), 'MerakiModule.request(...)' must complete without raising and reflect the final success status."" But the helper used by `test_fetch_url_429_success` is hard-wired to inspect a specific internal attribute: `def mocked_fetch_url_rate_success(module, *args, **kwargs):\n    if module.retry_count == 5:`. Neither the instruction nor the declared interface mentions a `retry_count` attribute; instead the diff adds `self.retry`, not `retry_count`. This is a V4 helpers/fixture-style unstated requirement that can make a valid implementation fail the reference tests.",instance_ansible__ansible-489156378c8e97374a75a544c7c9c2c0dd8146d1-v390e508d27db7a51eece36bb6d9698b63a5b638a,swebench-pro,,5.5,TRUE,TRUE,TRUE,FALSE,2,changelogs; lib,changelogs/fragments/meraki-rate-limit.yml; lib/ansible/module_utils/network/meraki/meraki.py; lib/ansible/plugins/doc_fragments/meraki.py,test/units/module_utils/network/meraki/test_meraki.py,,90,36,,,,swebench_instance_id,ansible-48915637,rejected,,,,,FALSE,,instance_ansible__ansible-489156378c8e97374a75a544c7c9c2c0dd8146d1-v390e508d27db7a51eece36bb6d9698b63a5b638a,489156378c8e97374a75a544c7c9c2c0dd8146d1,FALSE
ansible-4c5ce5a1,ansible,,4c5ce5a1a9e79a845aff4978cfeb72a0d4ecf7d6,8a175f59c939ca29ad56f3fa9edbc37a8656879a,8a175f59c939ca29ad56f3fa9edbc37a8656879a,"""# Support respawning modules under compatible interpreters and remove dependency on `libselinux-python` for basic SELin",,accept,ok,"Q1: Models will diverge significantly in approach. This commit requires creating a module respawn mechanism (new API in common/respawn.py), a ctypes-based SELinux compatibility shim (compat/selinux.py), and wiring both into multiple existing modules (apt, dnf, yum, package_facts, apt_repository) while preserving existing behavior. Per design_principles, 'integration is the discriminating step' — the respawn payload must correctly propagate module args and modlib paths through AnsiballZ, and the SELinux shim must faithfully replicate the libselinux-python API via ctypes. Q2: The core problem is genuinely hard — it involves cross-cutting changes to module execution infrastructure, ctypes FFI wrapping with proper memory management (freecon), and interpreter discovery/respawn logic. Reference tests exist in both unit tests (test_selinux.py rewrite) and integration tests (module_utils_respawn, module_utils_selinux). Q4: Pure Python with ctypes. Q5: Commit is from 2021 era but the respawn mechanism is sufficiently Ansible-specific to limit contamination risk.","The instruction is tightly aligned with the reference tests and the diff. It explicitly names the new respawn API and globals that the tests exercise: ""expose function has_respawned at ansible/module_utils/common/respawn.py"", ""expose function respawn_module at ansible/module_utils/common/respawn.py"", ""probe_interpreters_for_module ... returns the first interpreter path able to import a given module name"", and ""Ensure the module execution harness provides the globals _module_fqn and _modlib_path to the module’s __main__"". The integration respawn test uses exactly those APIs and behavior: `from ansible.module_utils.common.respawn import respawn_module, has_respawned` and asserts nested respawns fail. The instruction also precisely specifies the SELinux shim path and symbols — ""Introduce an internal SELinux shim at ansible/module_utils/compat/selinux.py that exposes is_selinux_enabled, is_selinux_mls_enabled, lgetfilecon_raw, matchpathcon, lsetfilecon, and selinux_getenforcemode"" — matching unit tests that patch `ansible.module_utils.compat.selinux.*` and the recursive finder test that requires `ansible/module_utils/compat/selinux.py` in the payload baseline. Format-sensitive assertions are also covered because the instruction includes exact failure strings for apt/dnf/package_facts and the policycoreutils-python(3) substring for SELinux test utility modules.",instance_ansible__ansible-4c5ce5a1a9e79a845aff4978cfeb72a0d4ecf7d6-v1055803c3a812189a1133297f7f5468579283f86,swebench-pro,,9.5,TRUE,TRUE,TRUE,FALSE,3,.azure-pipelines; changelogs; lib,.azure-pipelines/azure-pipelines.yml; changelogs/fragments/module_respawn.yml; lib/ansible/executor/module_common.py; lib/ansible/module_utils/basic.py; lib/ansible/module_utils/common/respawn.py; lib/ansible/module_utils/compat/selinux.py; lib/ansible/module_utils/facts/system/selinux.py; lib/ansible/modules/apt.py; lib/ansible/modules/apt_repository.py; lib/ansible/modules/dnf.py; lib/ansible/modules/package_facts.py; lib/ansible/modules/yum.py,.azure-pipelines/templates/test.yml; test/integration/targets/apt/tasks/apt.yml; test/integration/targets/dnf/tasks/dnf.yml; test/integration/targets/dnf/tasks/gpg.yml; test/integration/targets/module_utils_respawn/aliases; test/integration/targets/module_utils_respawn/library/respawnme.py; test/integration/targets/module_utils_respawn/tasks/main.yml; test/integration/targets/module_utils_selinux/aliases; test/integration/targets/module_utils_selinux/tasks/main.yml; test/integration/targets/module_utils_selinux/tasks/selinux.yml; test/integration/targets/setup_rpm_repo/library/create_repo.py; test/integration/targets/setup_rpm_repo/tasks/main.yml; ...(+8 more),,556,776,,,,swebench_instance_id,ansible-4c5ce5a1,promising,,,,,FALSE,,instance_ansible__ansible-4c5ce5a1a9e79a845aff4978cfeb72a0d4ecf7d6-v1055803c3a812189a1133297f7f5468579283f86,4c5ce5a1a9e79a845aff4978cfeb72a0d4ecf7d6,FALSE
ansible-502270c8,ansible,,502270c804c33d3bc963930dc85e0f4ca359674d,2ad10ffe43baaa849acdfa3a9dedfc1824c021d3,2ad10ffe43baaa849acdfa3a9dedfc1824c021d3,Title,,reject,ok,"matches BT1 pattern — trivial core logic in a complex repo. This is a pure mechanical refactoring: extracting common file-reading/writing logic into a FileStrategy base class, renaming GenericStrategy to BaseStrategy/CommandStrategy, and updating class references. The core logic is straightforward class hierarchy reorganization with no new behavior, no complex integration, and no architectural reasoning required. The test change is a single line renaming GenericStrategy to BaseStrategy. Models would not diverge in approach — every agent would follow the same mechanical rename-and-extract pattern. Q1 (model divergence) and Q2 (genuinely hard problem) both fail decisively.","The instruction and reference test are aligned on the core requirement: the outdated base class reference must be updated so tests enumerate hostname strategies from the correct base class. The instruction explicitly says, ""The unit test `test_stategy_get_never_writes_in_check_mode` ... fails because it attempts to gather subclasses of `GenericStrategy`"" and that ""The test must validate subclasses of the correct base class used by the hostname module,"" while the test does exactly `subclasses = get_all_subclasses(hostname.BaseStrategy)`. The instruction also names the relevant public interface in `lib/ansible/modules/hostname.py` for `BaseStrategy`, `CommandStrategy`, and `FileStrategy`, matching the diff and what the test instantiates. The test’s assertion is behavioral—under check mode, calling `get_permanent_hostname()` and `get_current_hostname()` must not write files—matching the instruction requirement that ""When executed in check mode (`_ansible_check_mode=True`), no strategy should perform any changes ...; the behavior must remain read-only.""",instance_ansible__ansible-502270c804c33d3bc963930dc85e0f4ca359674d-v7eee2454f617569fd6889f2211f75bc02a35f9f8,swebench-pro,,2,TRUE,FALSE,FALSE,FALSE,1,lib,lib/ansible/modules/hostname.py,test/units/modules/test_hostname.py,,233,2,,,,swebench_instance_id,ansible-502270c8,rejected,,,,,FALSE,,instance_ansible__ansible-502270c804c33d3bc963930dc85e0f4ca359674d-v7eee2454f617569fd6889f2211f75bc02a35f9f8,502270c804c33d3bc963930dc85e0f4ca359674d,TRUE
